id,admin0_nom,admin1_nom,admin2_nom,Admin3_Nam,annee,homme,femme,source
126,Mali,Kayes,Yelimane,Kremis,2009,5473,5571,RGPH
127,Mali,Kayes,Yelimane,Marekaffo,2009,2501,2823,RGPH
128,Mali,Kayes,Yelimane,Soumpou,2009,2364,2489,RGPH
129,Mali,Kayes,Yelimane,Toya,2009,5953,6691,RGPH
130,Mali,Kayes,Yelimane,Tringa,2009,5966,6576,RGPH
131,Mali,Koulikouro,Koulikoro,Dinandougou,2009,10571,10789,RGPH
132,Mali,Koulikouro,Koulikoro,Doumba,2009,3695,3768,RGPH
133,Mali,Koulikouro,Koulikoro,Koula,2009,11662,11786,RGPH
134,Mali,Koulikouro,Koulikoro,Koulikoro Commune,2009,20943,20659,RGPH
135,Mali,Koulikouro,Koulikoro,Meguetan,2009,12889,12504,RGPH
136,Mali,Koulikouro,Koulikoro,Nyamina,2009,17904,17881,RGPH
137,Mali,Koulikouro,Koulikoro,Sirakorola,2009,18038,17954,RGPH
138,Mali,Koulikouro,Koulikoro,Tienfala,2009,3514,3474,RGPH
139,Mali,Koulikouro,Koulikoro,Tougouni,2009,6315,6265,RGPH
140,Mali,Koulikouro,Banamba,Banamba,2009,15851,16029,RGPH
141,Mali,Koulikouro,Banamba,Boron,2009,18898,19208,RGPH
142,Mali,Koulikouro,Banamba,Duguwolowula,2009,21658,21368,RGPH
143,Mali,Koulikouro,Banamba,Kiban,2009,6194,6195,RGPH
144,Mali,Koulikouro,Banamba,Madina Sacko,2009,12924,13219,RGPH
145,Mali,Koulikouro,Banamba,Sebete,2009,2015,2045,RGPH
146,Mali,Koulikouro,Banamba,Toubacoro,2009,7118,7256,RGPH
147,Mali,Koulikouro,Banamba,Toukoroba,2009,5892,6063,RGPH
148,Mali,Koulikouro,Dioila,Banco,2009,16039,16940,RGPH
149,Mali,Koulikouro,Dioila,Benkadi,2009,3811,4088,RGPH
150,Mali,Koulikouro,Dioila,Binko,2009,9849,10048,RGPH
151,Mali,Koulikouro,Dioila,Degnekoro,2009,4883,5199,RGPH
152,Mali,Koulikouro,Dioila,Diebe,2009,4129,4575,RGPH
153,Mali,Koulikouro,Dioila,Diedougou,2009,17541,18351,RGPH
154,Mali,Koulikouro,Dioila,Diouman,2009,8003,8277,RGPH
155,Mali,Koulikouro,Dioila,Dolendougou,2009,6831,7389,RGPH
156,Mali,Koulikouro,Dioila,Guegneka,2009,23949,24092,RGPH
