id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,annee,homme,femme,source
151,Mali,Koulikouro,Dioila,Degnekoro,1998,3397,3661,RGPH
152,Mali,Koulikouro,Dioila,Diebe,1998,3089,3363,RGPH
153,Mali,Koulikouro,Dioila,Diedougou,1998,2152,2200,RGPH
154,Mali,Koulikouro,Dioila,Diouman,1998,5422,5472,RGPH
155,Mali,Koulikouro,Dioila,Dolendougou,1998,4802,4981,RGPH
156,Mali,Koulikouro,Dioila,Guegneka,1998,13944,13460,RGPH
157,Mali,Koulikouro,Dioila,Jekafo,1998,2509,2353,RGPH
158,Mali,Koulikouro,Dioila,Kaladougou,1998,12031,11792,RGPH
159,Mali,Koulikouro,Dioila,Kemekafo,1998,8479,8486,RGPH
160,Mali,Koulikouro,Dioila,Kerela,1998,3628,3596,RGPH
161,Mali,Koulikouro,Dioila,Kilidougou,1998,5855,6190,RGPH
162,Mali,Koulikouro,Dioila,Massigui,1998,21002,21663,RGPH
163,Mali,Koulikouro,Dioila,Nangola,1998,6758,6845,RGPH
164,Mali,Koulikouro,Dioila,N'dlondougou,1998,7048,7052,RGPH
165,Mali,Koulikouro,Dioila,N'garadougou,1998,5075,5038,RGPH
166,Mali,Koulikouro,Dioila,N'golobougou,1998,7475,7729,RGPH
167,Mali,Koulikouro,Dioila,Niantjila,1998,5886,6265,RGPH
168,Mali,Koulikouro,Dioila,Tenindougou,1998,4959,4910,RGPH
169,Mali,Koulikouro,Dioila,Wacoro,1998,4867,4892,RGPH
170,Mali,Koulikouro,Dioila,Zan Coulibaly,1998,5935,5858,RGPH
171,Mali,Koulikouro,Kangaba,Balan Bakama,1998,2434,2540,RGPH
172,Mali,Koulikouro,Kangaba,Benkadi,1998,3315,3382,RGPH
173,Mali,Koulikouro,Kangaba,Kaniogo,1998,6411,6583,RGPH
174,Mali,Koulikouro,Kangaba,Karan Commune,1998,2755,2914,RGPH
175,Mali,Koulikouro,Kangaba,Maramandougou,1998,5414,5461,RGPH
176,Mali,Koulikouro,Kangaba,Minidian,1998,6707,6713,RGPH
177,Mali,Koulikouro,Kangaba,Narena,1998,4381,4494,RGPH
178,Mali,Koulikouro,Kangaba,Nouga,1998,4207,4281,RGPH
179,Mali,Koulikouro,Kangaba,Selefougou,1998,2231,2241,RGPH
180,Mali,Koulikouro,Kati,Baguineda Camp,1998,14388,13983,RGPH
181,Mali,Koulikouro,Kati,Bancoumana,1998,9539,9599,RGPH
182,Mali,Koulikouro,Kati,Bossofala,1998,7931,7726,RGPH
183,Mali,Koulikouro,Kati,Bougoula,1998,4058,4136,RGPH
184,Mali,Koulikouro,Kati,Daban,1998,4342,4279,RGPH
185,Mali,Koulikouro,Kati,Diago,1998,3002,3008,RGPH
186,Mali,Koulikouro,Kati,Dialakoroba,1998,8314,8386,RGPH
187,Mali,Koulikouro,Kati,Dialakorodji,1998,6386,6552,RGPH
188,Mali,Koulikouro,Kati,Diedougou,1998,4214,4410,RGPH
189,Mali,Koulikouro,Kati,Dio Gare,1998,4147,4239,RGPH
190,Mali,Koulikouro,Kati,Dogodouman,1998,2129,2147,RGPH
191,Mali,Koulikouro,Kati,Dombila,1998,5128,5091,RGPH
192,Mali,Koulikouro,Kati,Doubabougou,1998,3007,3148,RGPH
193,Mali,Koulikouro,Kati,Kalabancoro,1998,17982,17600,RGPH
194,Mali,Koulikouro,Kati,Kalifabougou,1998,5513,5588,RGPH
195,Mali,Koulikouro,Kati,Kambila,1998,4884,4900,RGPH
196,Mali,Koulikouro,Kati,Kati Commune,1998,25700,27014,RGPH
197,Mali,Koulikouro,Kati,Kourouba,1998,2488,2472,RGPH
198,Mali,Koulikouro,Kati,Mande,1998,15470,15107,RGPH
199,Mali,Koulikouro,Kati,Moribabougou,1998,2638,2739,RGPH
200,Mali,Koulikouro,Kati,Mountougoula,1998,5127,5131,RGPH
201,Mali,Koulikouro,Kati,N'gabacoro,1998,3120,2875,RGPH
202,Mali,Koulikouro,Kati,N'gouraba,1998,6279,6140,RGPH
203,Mali,Koulikouro,Kati,Niagadina,1998,4186,4312,RGPH
204,Mali,Koulikouro,Kati,Nioumakana,1998,3045,3199,RGPH
205,Mali,Koulikouro,Kati,N'tjiba,1998,8608,8664,RGPH
206,Mali,Koulikouro,Kati,Ouelessebougou,1998,18057,18141,RGPH
207,Mali,Koulikouro,Kati,Safo,1998,3916,4007,RGPH
208,Mali,Koulikouro,Kati,Sanankoro Djitoumou,1998,11165,11086,RGPH
209,Mali,Koulikouro,Kati,Sanankoroba,1998,5012,5130,RGPH
210,Mali,Koulikouro,Kati,Sangarebougou,1998,4026,4020,RGPH
211,Mali,Koulikouro,Kati,Siby,1998,9033,9117,RGPH
212,Mali,Koulikouro,Kati,Sobra,1998,3359,3497,RGPH
213,Mali,Koulikouro,Kati,Tiakadougou Dialakoro,1998,2673,2696,RGPH
214,Mali,Koulikouro,Kati,Tiele,1998,7419,7452,RGPH
215,Mali,Koulikouro,Kati,Yelekebougou,1998,5242,5126,RGPH
216,Mali,Koulikouro,Banamba,Ben Kadi,1998,5855,5935,RGPH
217,Mali,Koulikouro,Kolokani,Didieni,1998,12348,13073,RGPH
218,Mali,Koulikouro,Kolokani,Guihoyo,1998,7313,7604,RGPH
219,Mali,Koulikouro,Kolokani,Kolokani,1998,16332,17226,RGPH
220,Mali,Koulikouro,Kolokani,Massantola,1998,14148,14953,RGPH
221,Mali,Koulikouro,Kolokani,Nonkon,1998,7157,7586,RGPH
222,Mali,Koulikouro,Kolokani,Nossombougou,1998,8480,8893,RGPH
223,Mali,Koulikouro,Kolokani,Ouolodo,1998,4522,4806,RGPH
224,Mali,Koulikouro,Kolokani,Sagabala,1998,7394,7864,RGPH
225,Mali,Koulikouro,Kolokani,Sebecoro 1,1998,7279,7774,RGPH
226,Mali,Koulikouro,Kolokani,Tioribougou,1998,4913,5240,RGPH
227,Mali,Koulikouro,Nara,Allahina,1998,3943,4178,RGPH
228,Mali,Koulikouro,Nara,Dabo,1998,3225,3416,RGPH
229,Mali,Koulikouro,Nara,Dilly,1998,14802,13880,RGPH
230,Mali,Koulikouro,Nara,Dogofry,1998,11591,12786,RGPH
231,Mali,Koulikouro,Nara,Fallou,1998,10329,11148,RGPH
232,Mali,Koulikouro,Nara,Gueneibe,1998,3046,3211,RGPH
233,Mali,Koulikouro,Nara,Guire,1998,4862,4712,RGPH
234,Mali,Koulikouro,Nara,Koronga,1998,3996,3921,RGPH
235,Mali,Koulikouro,Nara,Nara,1998,9572,10221,RGPH
236,Mali,Koulikouro,Nara,Niamana,1998,10483,10722,RGPH
237,Mali,Koulikouro,Nara,Ouagadou,1998,6241,6498,RGPH
238,Mali,Sikasso,Kadiolo,Diou,1998,1386,1442,RGPH
239,Mali,Sikasso,Kadiolo,Dioumatene,1998,3319,3301,RGPH
240,Mali,Sikasso,Kadiolo,Fourou,1998,10797,10492,RGPH
241,Mali,Sikasso,Kadiolo,Kadiolo,1998,15398,15894,RGPH
242,Mali,Sikasso,Kadiolo,Kai,1998,3313,3643,RGPH
243,Mali,Sikasso,Kadiolo,Loulouni,1998,13722,14396,RGPH
244,Mali,Sikasso,Kadiolo,Misseni,1998,6148,6528,RGPH
245,Mali,Sikasso,Kadiolo,Nimbougou,1998,2256,2349,RGPH
246,Mali,Sikasso,Kadiolo,Zegoua,1998,6838,7138,RGPH
247,Mali,Sikasso,Yorosso,Boura,1998,7416,7430,RGPH
248,Mali,Sikasso,Yorosso,Karangana,1998,6352,6523,RGPH
249,Mali,Sikasso,Yorosso,Kiffosso 1,1998,7577,7925,RGPH
250,Mali,Sikasso,Yorosso,Koumbia,1998,7713,7561,RGPH
251,Mali,Sikasso,Yorosso,Koury,1998,16748,16857,RGPH
252,Mali,Sikasso,Yorosso,Mahou,1998,5978,5947,RGPH
253,Mali,Sikasso,Yorosso,Menamba 1,1998,3332,3507,RGPH
254,Mali,Sikasso,Yorosso,Ourikela,1998,8169,8187,RGPH
255,Mali,Sikasso,Yorosso,Yorosso,1998,6886,6913,RGPH
256,Mali,Sikasso,Kolondieba,Bougoula,1998,1736,1980,RGPH
257,Mali,Sikasso,Kolondieba,Fakola,1998,6933,7735,RGPH
258,Mali,Sikasso,Kolondieba,Farako,1998,4964,5406,RGPH
259,Mali,Sikasso,Kolondieba,Kadiana,1998,7650,8095,RGPH
260,Mali,Sikasso,Kolondieba,Kebila,1998,11846,12950,RGPH
261,Mali,Sikasso,Kolondieba,Kolondieba,1998,18259,19686,RGPH
262,Mali,Sikasso,Kolondieba,Kolosso,1998,2743,2648,RGPH
263,Mali,Sikasso,Kolondieba,Mena,1998,2424,2579,RGPH
264,Mali,Sikasso,Kolondieba,Nangalasso,1998,4207,4422,RGPH
265,Mali,Sikasso,Kolondieba,N'golodiana,1998,2526,2859,RGPH
266,Mali,Sikasso,Kolondieba,Tiongui,1998,3240,3333,RGPH
267,Mali,Sikasso,Kolondieba,Tousseguela,1998,1803,1837,RGPH
268,Mali,Sikasso,Yanfolila,Baya,1998,7222,7240,RGPH
269,Mali,Sikasso,Yanfolila,Bolo-Fouta,1998,1748,1813,RGPH
270,Mali,Sikasso,Bougouni,Syen Toula,1998,3337,3431,RGPH
271,Mali,Sikasso,Yanfolila,Djallon-Foula,1998,4961,5213,RGPH
272,Mali,Sikasso,Yanfolila,Djiguiya De Koloni,1998,2195,2362,RGPH
273,Mali,Sikasso,Yanfolila,Gouanan,1998,9647,9543,RGPH
274,Mali,Sikasso,Yanfolila,Gouandiaka,1998,4019,3918,RGPH
275,Mali,Sikasso,Yanfolila,Koussan,1998,3711,3823,RGPH
276,Mali,Sikasso,Yanfolila,Sankarani,1998,3996,4052,RGPH
277,Mali,Sikasso,Yanfolila,Sere Moussa Ani Samo,1998,8119,8039,RGPH
278,Mali,Sikasso,Yanfolila,Tagandougou,1998,6983,7118,RGPH
279,Mali,Sikasso,Yanfolila,Wassoulou Balle,1998,18574,18924,RGPH
280,Mali,Sikasso,Yanfolila,Yallankoro-Soloba,1998,4710,5042,RGPH
281,Mali,Sikasso,Koutiala,Diedougou,1998,13100,13173,RGPH
282,Mali,Sikasso,Koutiala,Diouradougou Kafo,1998,4146,4126,RGPH
283,Mali,Sikasso,Koutiala,Fagui,1998,3775,3846,RGPH
284,Mali,Sikasso,Koutiala,Fakolo,1998,4280,4406,RGPH
285,Mali,Sikasso,Koutiala,Gouadji Kao,1998,3463,3618,RGPH
286,Mali,Sikasso,Koutiala,Gouadie Sougouna,1998,9204,9559,RGPH
287,Mali,Sikasso,Koutiala,Kafo Faboli,1998,5383,5740,RGPH
