id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
130,Mali,Kayes,Yelimane,Tringa,4581,5966,5355,6576,RGPH
131,Mali,Koulikouro,Koulikoro,Dinandougou,7581,10571,7527,10789,RGPH
132,Mali,Koulikouro,Koulikoro,Doumba,2974,3695,3117,3768,RGPH
133,Mali,Koulikouro,Koulikoro,Koula,10266,11662,10533,11786,RGPH
134,Mali,Koulikouro,Koulikoro,Koulikoro Commune,14237,20943,14433,20659,RGPH
135,Mali,Koulikouro,Koulikoro,Meguetan,8537,12889,8440,12504,RGPH
136,Mali,Koulikouro,Koulikoro,Nyamina,13362,17904,13697,17881,RGPH
137,Mali,Koulikouro,Koulikoro,Sirakorola,12940,18038,13103,17954,RGPH
138,Mali,Koulikouro,Koulikoro,Tienfala,2039,3514,1997,3474,RGPH
139,Mali,Koulikouro,Koulikoro,Tougouni,4318,6315,4384,6265,RGPH
140,Mali,Koulikouro,Banamba,Banamba,11755,15851,12178,16029,RGPH
141,Mali,Koulikouro,Banamba,Boron,15223,18898,15090,19208,RGPH
142,Mali,Koulikouro,Banamba,Duguwolowula,16204,21658,16210,21368,RGPH
143,Mali,Koulikouro,Banamba,Kiban,4520,6194,4559,6195,RGPH
144,Mali,Koulikouro,Banamba,Madina Sacko,8507,12924,8808,13219,RGPH
145,Mali,Koulikouro,Banamba,Sebete,1503,2015,1588,2045,RGPH
146,Mali,Koulikouro,Banamba,Toubacoro,5146,7118,5141,7256,RGPH
147,Mali,Koulikouro,Banamba,Toukoroba,4489,5892,4542,6063,RGPH
148,Mali,Koulikouro,Dioila,Banco,12011,16039,12585,16940,RGPH
149,Mali,Koulikouro,Dioila,Benkadi,2998,3811,3035,4088,RGPH
150,Mali,Koulikouro,Dioila,Binko,6559,9849,6703,10048,RGPH
151,Mali,Koulikouro,Dioila,Degnekoro,3397,4883,3661,5199,RGPH
152,Mali,Koulikouro,Dioila,Diebe,3089,4129,3363,4575,RGPH
153,Mali,Koulikouro,Dioila,Diedougou,2152,17541,2200,18351,RGPH
154,Mali,Koulikouro,Dioila,Diouman,5422,8003,5472,8277,RGPH
155,Mali,Koulikouro,Dioila,Dolendougou,4802,6831,4981,7389,RGPH
156,Mali,Koulikouro,Dioila,Guegneka,13944,23949,13460,24092,RGPH
157,Mali,Koulikouro,Dioila,Jekafo,2509,3241,2353,3400,RGPH
158,Mali,Koulikouro,Dioila,Kaladougou,12031,19429,11792,19742,RGPH
159,Mali,Koulikouro,Dioila,Kemekafo,8479,12253,8486,12181,RGPH
160,Mali,Koulikouro,Dioila,Kerela,3628,6280,3596,6346,RGPH
161,Mali,Koulikouro,Dioila,Kilidougou,5855,7578,6190,7930,RGPH
162,Mali,Koulikouro,Dioila,Massigui,21002,26249,21663,28003,RGPH
163,Mali,Koulikouro,Dioila,Nangola,6758,9169,6845,9436,RGPH
164,Mali,Koulikouro,Dioila,N'dlondougou,7048,10326,7052,10667,RGPH
165,Mali,Koulikouro,Dioila,N'garadougou,5075,7633,5038,7960,RGPH
166,Mali,Koulikouro,Dioila,N'golobougou,7475,10272,7729,10753,RGPH
167,Mali,Koulikouro,Dioila,Niantjila,5886,6837,6265,7466,RGPH
168,Mali,Koulikouro,Dioila,Tenindougou,4959,7681,4910,7725,RGPH
169,Mali,Koulikouro,Dioila,Wacoro,4867,7441,4892,7559,RGPH
170,Mali,Koulikouro,Dioila,Zan Coulibaly,5935,9235,5858,9255,RGPH
171,Mali,Koulikouro,Kangaba,Balan Bakama,2434,3404,2540,3487,RGPH
172,Mali,Koulikouro,Kangaba,Benkadi,3315,4741,3382,4694,RGPH
173,Mali,Koulikouro,Kangaba,Kaniogo,6411,8308,6583,8477,RGPH
174,Mali,Koulikouro,Kangaba,Karan Commune,2755,3134,2914,3242,RGPH
175,Mali,Koulikouro,Kangaba,Maramandougou,5414,7237,5461,7302,RGPH
176,Mali,Koulikouro,Kangaba,Minidian,6707,9012,6713,9113,RGPH
