source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020405,Daban,5582,5577
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020406,Diago,4687,4725
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020407,Dialakoroba,11533,11302
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020408,Dialakorodji,23836,23650
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020409,Diedougou,5140,5372
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020410,Dio Gare,6219,6523
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020411,Dogodouman,5909,5875
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020412,Dombila,6561,6891
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020413,Doubabougou,4869,4986
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020415,Kalabancoro,81018,80864
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020416,Kalifabougou,5587,6034
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020417,Kambila,7599,7766
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020418,Kati Commune,41982,42518
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020419,Kourouba,2885,2944
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020420,Mande,28734,28615
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020421,Moribabougou,13457,13602
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020422,Mountougoula,7996,8232
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020423,N'gabacoro,9254,9009
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020424,N'gouraba,8842,8853
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020425,Niagadina,5056,5386
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020426,Nioumakana,4075,4351
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020427,N'tjiba,10653,11139
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020428,Ouelessebougou,24694,25345
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020429,Safo,7443,7238
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020430,Sanankoro Djitoumou,6594,6733
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020431,Sanankoroba,18718,18643
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020432,Sangarebougou,24021,23171
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020433,Siby,12140,12115
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020434,Sobra,4817,4987
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020435,Tiakadougou Dialakoro,3819,3879
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020436,Tiele,9088,9406
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020437,Yelekebougou,6228,6552
RGPH,ML,Mali,ML02,Koulikouro,ML0201,Banamba,ML020102,Ben Kadi,4554,4518
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020501,Didieni,16145,16949
