annee,id,groupage,sexe,milieu,population,source,office
1976,6,25-29,Femme,Urbain,43143,RGPH,DNSI
1976,7,30-34,Femme,Urbain,33504,RGPH,DNSI
1976,8,35-39,Femme,Urbain,28505,RGPH,DNSI
1976,9,40-44,Femme,Urbain,22007,RGPH,DNSI
1976,10,45-49,Femme,Urbain,15445,RGPH,DNSI
1976,11,50-54,Femme,Urbain,13238,RGPH,DNSI
1976,12,55-59,Femme,Urbain,8928,RGPH,DNSI
1976,13,60-64,Femme,Urbain,9337,RGPH,DNSI
1976,14,65-69,Femme,Urbain,5032,RGPH,DNSI
1976,15,70-74,Femme,Urbain,4610,RGPH,DNSI
1976,16,75-79,Femme,Urbain,2650,RGPH,DNSI
1976,17,80+,Femme,Urbain,3677,RGPH,DNSI
1976,99,ND,Femme,Urbain,93,RGPH,DNSI
1976,18,Total,Femme,Urbain,545614,RGPH,DNSI
1987,1,0-4,Femme,Urbain,147536,RGPH,DNSI
1987,2,5-9,Femme,Urbain,126068,RGPH,DNSI
1987,3,10-14,Femme,Urbain,101294,RGPH,DNSI
1987,4,15-19,Femme,Urbain,98163,RGPH,DNSI
1987,5,20-24,Femme,Urbain,77355,RGPH,DNSI
1987,6,25-29,Femme,Urbain,70244,RGPH,DNSI
1987,7,30-34,Femme,Urbain,52911,RGPH,DNSI
1987,8,35-39,Femme,Urbain,42424,RGPH,DNSI
1987,9,40-44,Femme,Urbain,34159,RGPH,DNSI
1987,10,45-49,Femme,Urbain,26125,RGPH,DNSI
1987,11,50-54,Femme,Urbain,21739,RGPH,DNSI
1987,12,55-59,Femme,Urbain,15442,RGPH,DNSI
1987,13,60-64,Femme,Urbain,14691,RGPH,DNSI
1987,14,65-69,Femme,Urbain,9256,RGPH,DNSI
1987,15,70-74,Femme,Urbain,7012,RGPH,DNSI
1987,16,75-79,Femme,Urbain,3632,RGPH,DNSI
1987,17,80+,Femme,Urbain,4951,RGPH,DNSI
1987,99,ND,Femme,Urbain,NA,RGPH,DNSI
1987,18,Total,Femme,Urbain,853002,RGPH,DNSI
1998,1,0-4,Femme,Urbain,194959,RGPH,DNSI
1998,2,5-9,Femme,Urbain,191497,RGPH,DNSI
1998,3,10-14,Femme,Urbain,170236,RGPH,DNSI
1998,4,15-19,Femme,Urbain,165335,RGPH,DNSI
1998,5,20-24,Femme,Urbain,123637,RGPH,DNSI
1998,6,25-29,Femme,Urbain,102959,RGPH,DNSI
1998,7,30-34,Femme,Urbain,84998,RGPH,DNSI
1998,8,35-39,Femme,Urbain,69209,RGPH,DNSI
1998,9,40-44,Femme,Urbain,52386,RGPH,DNSI
1998,10,45-49,Femme,Urbain,38934,RGPH,DNSI
1998,11,50-54,Femme,Urbain,34383,RGPH,DNSI
1998,12,55-59,Femme,Urbain,23467,RGPH,DNSI
1998,13,60-64,Femme,Urbain,22422,RGPH,DNSI
1998,14,65-69,Femme,Urbain,13727,RGPH,DNSI
1998,15,70-74,Femme,Urbain,11438,RGPH,DNSI
1998,16,75-79,Femme,Urbain,5633,RGPH,DNSI
1998,17,80+,Femme,Urbain,5601,RGPH,DNSI
1998,99,ND,Femme,Urbain,9389,RGPH,DNSI
1998,18,Total,Femme,Urbain,1320210,RGPH,DNSI
2009,1,0-4,Femme,Urbain,251243,RGPH,DNSI
2009,2,5-9,Femme,Urbain,221268,RGPH,DNSI
2009,3,10-14,Femme,Urbain,201984,RGPH,DNSI
2009,4,15-19,Femme,Urbain,236550,RGPH,DNSI
2009,5,20-24,Femme,Urbain,171861,RGPH,DNSI
2009,6,25-29,Femme,Urbain,137607,RGPH,DNSI
2009,7,30-34,Femme,Urbain,98802,RGPH,DNSI
2009,8,35-39,Femme,Urbain,75966,RGPH,DNSI
2009,9,40-44,Femme,Urbain,59512,RGPH,DNSI
2009,10,45-49,Femme,Urbain,47169,RGPH,DNSI
2009,11,50-54,Femme,Urbain,37690,RGPH,DNSI
2009,12,55-59,Femme,Urbain,26354,RGPH,DNSI
2009,13,60-64,Femme,Urbain,22958,RGPH,DNSI
2009,14,65-69,Femme,Urbain,14714,RGPH,DNSI
2009,15,70-74,Femme,Urbain,12376,RGPH,DNSI
2009,16,75-79,Femme,Urbain,6654,RGPH,DNSI
2009,17,80+,Femme,Urbain,8348,RGPH,DNSI
2009,99,ND,Femme,Urbain,0,RGPH,DNSI
2009,18,Total,Femme,Urbain,1631056,RGPH,DNSI
1976,1,0-4,Femme,Rural,489941,RGPH,DNSI
1976,2,5-9,Femme,Rural,400186,RGPH,DNSI
1976,3,10-14,Femme,Rural,256884,RGPH,DNSI
1976,4,15-19,Femme,Rural,272743,RGPH,DNSI
1976,5,20-24,Femme,Rural,218355,RGPH,DNSI
1976,6,25-29,Femme,Rural,223875,RGPH,DNSI
1976,7,30-34,Femme,Rural,190446,RGPH,DNSI
1976,8,35-39,Femme,Rural,137444,RGPH,DNSI
1976,9,40-44,Femme,Rural,125822,RGPH,DNSI
1976,10,45-49,Femme,Rural,83008,RGPH,DNSI
1976,11,50-54,Femme,Rural,90369,RGPH,DNSI
1976,12,55-59,Femme,Rural,53989,RGPH,DNSI
1976,13,60-64,Femme,Rural,72129,RGPH,DNSI
1976,14,65-69,Femme,Rural,31800,RGPH,DNSI
1976,15,70-74,Femme,Rural,33137,RGPH,DNSI
1976,16,75-79,Femme,Rural,14080,RGPH,DNSI
1976,17,80+,Femme,Rural,29082,RGPH,DNSI
1976,99,ND,Femme,Rural,281,RGPH,DNSI
1976,18,Total,Femme,Rural,2723571,RGPH,DNSI
1987,1,0-4,Femme,Rural,565971,RGPH,DNSI
1987,2,5-9,Femme,Rural,485494,RGPH,DNSI
1987,3,10-14,Femme,Rural,313008,RGPH,DNSI
1987,4,15-19,Femme,Rural,281359,RGPH,DNSI
1987,5,20-24,Femme,Rural,238398,RGPH,DNSI
1987,6,25-29,Femme,Rural,236307,RGPH,DNSI
1987,7,30-34,Femme,Rural,192532,RGPH,DNSI
1987,8,35-39,Femme,Rural,159265,RGPH,DNSI
1987,9,40-44,Femme,Rural,135582,RGPH,DNSI
1987,10,45-49,Femme,Rural,106177,RGPH,DNSI
1987,11,50-54,Femme,Rural,98269,RGPH,DNSI
