Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Kita,ML0105,Gadougou 1,ML010509,2009,12510,12865,25375,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Gadougou 2,ML010510,2009,4506,4765,9271,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Guemoukouraba,ML010511,2009,4816,5313,10129,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kassaro,ML010512,2009,10673,10933,21606,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,2009,24054,24989,49043,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Nord,ML010514,2009,4336,4232,8568,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Ouest,ML010515,2009,8199,8563,16762,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kobri,ML010516,2009,7472,7732,15204,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kokofata,ML010517,2009,10862,11222,22084,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kotouba,ML010518,2009,2917,2901,5818,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Koulou,ML010519,2009,5126,5406,10532,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Kourounikoto,ML010520,2009,2799,2706,5505,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Madina,ML010521,2009,6876,7149,14025,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Makano,ML010522,2009,5485,5544,11029,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Namala Guimba,ML010523,2009,5910,6004,11914,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Niantanso,ML010524,2009,2542,2588,5130,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Saboula,ML010525,2009,3031,3153,6184,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sebekoro,ML010526,2009,16275,16540,32815,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sefeto Nord,ML010527,2009,5425,6133,11558,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sefeto Ouest,ML010528,2009,8308,9149,17457,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Senko,ML010529,2009,4115,4166,8281,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Sirakoro,ML010530,2009,5169,5429,10598,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Souransan Tomoto,ML010531,2009,4163,4357,8520,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Tambaga,ML010532,2009,5333,5149,10482,RGPH
Mali,ML,Kayes,ML01,Kita,ML0105,Toukoto,ML010533,2009,3399,3563,6962,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Baniere Kore,ML010601,2009,4519,4930,9449,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diabigue,ML010602,2009,4492,4916,9408,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diarra,ML010603,2009,3424,3713,7137,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Diaye Coura,ML010604,2009,6556,7161,13717,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Gavinane,ML010605,2009,7676,8003,15679,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Gogui,ML010606,2009,6186,6761,12947,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Guetema,ML010607,2009,4484,4848,9332,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Kadiaba Kadiel,ML010608,2009,4982,4944,9926,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Korera Kore,ML010609,2009,9453,9974,19427,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Nioro Commune,ML010610,2009,17258,16433,33691,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Nioro Tougoune Ranga,ML010611,2009,6410,6791,13201,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Sandare,ML010612,2009,12597,13019,25616,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Simbi,ML010613,2009,9786,10307,20093,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Troungoumbe,ML010614,2009,5981,6507,12488,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Yerere,ML010615,2009,6567,6920,13487,RGPH
Mali,ML,Kayes,ML01,Nioro,ML0106,Youri,ML010616,2009,3351,3765,7116,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Diafounou Diongaga,ML010701,2009,4663,5015,9678,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Diafounou Gory,ML010702,2009,9659,10591,20250,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Fanga,ML010703,2009,3862,4071,7933,RGPH
