Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Mopti,ML05,Bankass,ML0502,Bankass,ML050201,2017,19765,19822,39587,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Dimbal Habe,ML050204,2017,11685,11282,22967,OCHA
Mali,ML,Mopti,ML05,Bankass,ML0502,Kani Bozon,ML050205,2017,8274,8718,16992,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Bandiagara Commune,ML050101,2017,10806,11492,22298,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Timiri,ML050120,2017,11460,11375,22835,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Soroly,ML050119,2017,4985,4491,9476,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Sangha,ML050117,2017,20478,19527,40005,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Pignari Bana,ML050116,2017,20283,18788,39071,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Pignari,ML050115,2017,10811,10054,20865,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Lowol Gueou,ML050111,2017,5754,5880,11634,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Kendie,ML050110,2017,17314,15786,33100,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Dourou,ML050108,2017,12805,12555,25360,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Dogani Bere,ML050106,2017,2979,2760,5739,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Bara Sara,ML050102,2017,9731,9795,19526,OCHA
Mali,ML,Mopti,ML05,Bandiagara,ML0501,Segue Ire,ML050118,2017,10520,8783,19303,OCHA
Mali,ML,Mopti,ML05,Youwarou,ML0508,Youwarou,ML050807,2017,15244,15038,30282,OCHA
Mali,ML,Mopti,ML05,Youwarou,ML0508,N'dodjiga,ML050806,2017,14525,14453,28978,OCHA
Mali,ML,Mopti,ML05,Youwarou,ML0508,Farimake,ML050805,2017,7639,7839,15478,OCHA
