Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Wacoro,ML020222,1998,4867,4892,9759,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Zan Coulibaly,ML020223,1998,5935,5858,11793,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Balan Bakama,ML020301,1998,2434,2540,4974,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Benkadi,ML020302,1998,3315,3382,6697,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Kaniogo,ML020303,1998,6411,6583,12994,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Karan Commune,ML020304,1998,2755,2914,5669,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Maramandougou,ML020305,1998,5414,5461,10875,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Minidian,ML020306,1998,6707,6713,13420,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Narena,ML020307,1998,4381,4494,8875,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Nouga,ML020308,1998,4207,4281,8488,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Selefougou,ML020309,1998,2231,2241,4472,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Baguineda Camp,ML020401,1998,14388,13983,28371,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bancoumana,ML020402,1998,9539,9599,19138,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,1998,7931,7726,15657,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bougoula,ML020404,1998,4058,4136,8194,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Daban,ML020405,1998,4342,4279,8621,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Diago,ML020406,1998,3002,3008,6010,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dialakoroba,ML020407,1998,8314,8386,16700,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dialakorodji,ML020408,1998,6386,6552,12938,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Diedougou,ML020409,1998,4214,4410,8624,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dio Gare,ML020410,1998,4147,4239,8386,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dogodouman,ML020411,1998,2129,2147,4276,RGPH
